323,-14666,-4212,-1963,-551,-8521,270,-3,-31850
324,-14730,-4422,-2891,-551,-8967,-8,-34,-31360
325,-6570,-4422,5675,-551,-1347,0,-3,-31348
326,-14790,-10484,-1943,967,-7938,260,-6,-31332
327,-14738,-5234,-1943,-4025,-2756,260,61,-32392
328,-14730,-5234,-1943,4529,-2756,260,61,-32392
329,-15149,-5234,-1943,-6193,-2756,-269,61,-32392
330,-6573,10260,5716,-6193,-1377,0,38,-31722
331,-6571,6042,-1921,-6193,-7938,-12,-2,-31588
332,-6922,11134,5743,-39,-9921,-8,-2,-32471
333,-14691,12138,5743,-39,-8609,0,-26,-31588
334,-15190,12138,5743,-39,-9097,-12,-30,-32868
335,-6547,12138,5323,-39,-2384,0,46,-31333
336,-6530,12138,-2307,985,638,0,-6,-33380
337,-6616,11162,5652,985,-10569,0,38,-31472
338,-14218,11162,-2007,985,-8513,-22,-30,-31472
339,-14736,11162,-2923,-623,-8610,-20,-40,-31472
340,-6522,10938,5761,-623,-1855,-4,-2,-31332
341,-6538,6026,5693,-623,189,0,38,-31334
342,-14762,6026,-3564,-73,189,-4,-8,-34163
343,-6474,6026,-867,-73,185,0,40,-35620
344,-14731,-4298,5769,-73,-8522,-4,-27,-37503
345,-14226,-5350,5773,-73,-9593,0,-5,-33394
346,-6122,-5350,-2033,-73,-9593,-6,43,-31459
347,-14676,-5234,-3518,-73,-10592,-12,-2,-34428
348,-6523,-5234,-1907,-73,671,-2,32,-38548
349,-14673,-4322,-2427,-6303,-7499,0,-9,-38500
350,-6064,-4322,5706,-6303,191,0,-2,-35364
351,-14224,-11242,5706,-6303,191,0,-26,-31349
352,-14666,-4706,5706,-259,191,-4,-3,-39606
353,-6426,-4706,5773,-259,703,-12,-9,-31812
354,-14340,-4322,-2934,-259,-7041,-10,-27,-31382
355,-14218,-5338,5695,-259,-7041,-16,-2,-39538
356,-14722,-9190,5717,4025,-7041,-8,37,-37478
357,-14224,-4680,4741,-329,-321,-4,-2,-39574
358,-6029,-4680,-1926,8153,639,0,-3,-31333
359,-6150,-4680,-2540,-311,639,272,-2,-31588
360,-6026,-4680,5771,-39,641,-4,-2,-40037
361,-14692,-4680,-1491,1613,641,0,-9,-32578
362,-6026,-4680,5229,-295,-833,0,-2,-39658
363,-14226,-4680,-2006,6617,-833,-264,-34,-40514
364,-14250,-4680,-2923,-321,-833,264,-30,-40492
365,-6034,-4680,5146,985,319,0,46,-39787
366,-6034,-4680,-1908,1755,319,0,-6,-35428
367,-14218,-4602,-3570,-55,-9035,0,-13,-39575
368,-6074,-4602,5772,8153,167,0,45,-32359
369,-14251,-4602,-2437,-39,167,0,46,-31910
370,-6486,-4602,5766,-39,189,0,41,-41321
371,-6147,-4602,-1911,-39,189,-8,-4,-35440
372,-14726,-4582,5260,-103,-7975,0,38,-39526
373,-6122,-4582,-1940,7961,703,-2,34,-32356
